,ticker,n_times
0,GAZP,46
1,GMKN,46
2,LKOH,46
3,ROSN,45
4,VTBR,42
5,SBER,39
6,SBERP,25
7,MGNT,22
8,SNGS,20
9,MOEX,17
10,ALRS,15
11,SNGSP,14
12,HYDR,11
13,URKA,11
14,CHMF,7
15,FEES,6
16,AFLT,6
17,YNDX,4
18,TATN,4
19,TRNFP,3
20,RTKM,3
21,MTSS,3
22,NVTK,2
23,MAGN,2
24,PLZL,2
25,POLY,2
26,MTLR,1
27,NLMK,1
28,AFKS,1
