TRADEDATE,IMOEX,MOEX10
2015-02-02,1625.31,3593.38
2015-02-03,1654.36,3648.78
2015-02-04,1656.02,3608.82
2015-02-05,1696.06,3709.95
2015-02-06,1755.45,3829.29
2015-02-09,1748.55,3834.04
2015-02-10,1742.35,3811.58
2015-02-11,1763.6,3875.16
2015-02-12,1802.8,3966.3
2015-02-13,1838.18,4071.78
2015-02-16,1800.59,3997.73
2015-02-17,1793.82,3976.95
2015-02-18,1809.67,4014.42
2015-02-19,1797.87,3955.96
2015-02-20,1792.7,3965.46
2015-02-24,1772.16,3913.77
2015-02-25,1746.23,3872.15
2015-02-26,1760.66,3931.35
2015-02-27,1758.97,3931.82
2015-03-02,1783.34,3964.47
2015-03-03,1807.7,4033.78
2015-03-04,1759.35,3911.88
2015-03-05,1760.55,3925.42
2015-03-06,1728.55,3871.22
2015-03-10,1665.38,3725.82
2015-03-11,1671.47,3707.55
2015-03-12,1664.7,3703.85
2015-03-13,1627.88,3622.33
2015-03-16,1609.85,3565.89
2015-03-17,1611.69,3562.33
2015-03-18,1632.12,3622.73
2015-03-19,1607.97,3572.2
2015-03-20,1628.64,3683.53
2015-03-23,1602.85,3613.55
2015-03-24,1618.62,3648.58
2015-03-25,1615.5,3660.51
2015-03-26,1581.84,3585.34
2015-03-27,1571.55,3555.85
2015-03-30,1612.84,3652.04
2015-03-31,1626.18,3673.15
2015-04-01,1661.9,3762.84
2015-04-02,1679.24,3823.44
2015-04-03,1681.47,3822.2
2015-04-06,1700.64,3874.38
2015-04-07,1695.64,3852.85
2015-04-08,1683.63,3823.75
2015-04-09,1667.6,3829.07
2015-04-10,1657.02,3798.39
2015-04-13,1678.19,3840.91
2015-04-14,1647.39,3768.65
2015-04-15,1677.7,3837.48
2015-04-16,1686.79,3845.6
2015-04-17,1656.59,3757.32
2015-04-20,1683.24,3786.73
2015-04-21,1710.24,3841.68
2015-04-22,1677.56,3770.11
2015-04-23,1662.64,3751.03
2015-04-24,1682.7,3803.03
2015-04-27,1677.22,3793.9
2015-04-28,1677.89,3783.61
2015-04-29,1670.99,3798.81
2015-04-30,1688.34,3825.35
2015-05-05,1721.8,3914.92
2015-05-06,1714.31,3907.85
2015-05-07,1686.98,3850.03
2015-05-08,1708.52,3868.0
2015-05-12,1704.62,3813.96
2015-05-13,1682.26,3789.63
2015-05-14,1677.57,3781.23
2015-05-15,1691.46,3822.75
2015-05-18,1678.55,3821.61
2015-05-19,1659.36,3768.34
2015-05-20,1636.86,3718.81
2015-05-21,1659.33,3790.36
2015-05-22,1665.66,3791.64
2015-05-25,1655.4,3768.37
2015-05-26,1651.66,3759.76
2015-05-27,1660.98,3752.9
2015-05-28,1657.62,3759.88
2015-05-29,1609.19,3677.47
2015-06-01,1616.94,3685.13
2015-06-02,1643.41,3741.98
2015-06-03,1628.87,3710.36
2015-06-04,1638.07,3702.82
2015-06-05,1652.07,3726.68
2015-06-08,1646.89,3715.25
2015-06-09,1664.01,3739.38
2015-06-10,1653.09,3734.43
2015-06-11,1652.24,3745.14
2015-06-15,1657.29,3771.3
2015-06-16,1668.82,3827.87
2015-06-17,1664.66,3809.73
2015-06-18,1660.14,3796.59
2015-06-19,1663.03,3802.68
2015-06-22,1663.03,3824.69
2015-06-23,1657.23,3789.59
2015-06-24,1651.85,3781.33
2015-06-25,1631.99,3759.03
2015-06-26,1644.45,3748.4
2015-06-29,1634.93,3712.43
2015-06-30,1654.55,3747.88
2015-07-01,1639.7,3712.91
2015-07-02,1641.05,3729.7
2015-07-03,1631.65,3701.74
2015-07-06,1621.27,3655.11
2015-07-07,1614.14,3634.91
2015-07-08,1595.0,3585.41
2015-07-09,1614.59,3633.95
2015-07-10,1623.99,3663.41
2015-07-13,1642.97,3710.42
2015-07-14,1647.01,3703.86
2015-07-15,1641.22,3659.11
2015-07-16,1652.59,3702.18
2015-07-17,1650.08,3695.13
2015-07-20,1626.76,3638.14
2015-07-21,1635.69,3671.06
2015-07-22,1635.63,3667.99
2015-07-23,1616.14,3626.16
2015-07-24,1595.61,3564.28
2015-07-27,1584.92,3539.49
2015-07-28,1604.5,3591.85
2015-07-29,1622.32,3648.43
2015-07-30,1636.72,3684.56
2015-07-31,1669.0,3748.71
2015-08-03,1663.74,3731.4
2015-08-04,1674.46,3749.72
2015-08-05,1693.07,3800.54
2015-08-06,1675.71,3761.38
2015-08-07,1690.44,3790.23
2015-08-10,1702.02,3821.49
2015-08-11,1697.87,3795.15
2015-08-12,1697.65,3792.44
2015-08-13,1704.11,3803.41
2015-08-14,1712.47,3848.07
2015-08-17,1707.95,3831.59
2015-08-18,1691.24,3797.76
2015-08-19,1673.86,3731.91
2015-08-20,1695.57,3773.23
2015-08-21,1663.31,3718.35
2015-08-24,1634.14,3631.41
2015-08-25,1658.13,3716.59
2015-08-26,1660.95,3733.56
2015-08-27,1695.22,3813.75
2015-08-28,1719.16,3874.73
2015-08-31,1733.17,3853.76
2015-09-01,1697.99,3790.38
2015-09-02,1690.82,3797.94
2015-09-03,1710.57,3837.14
2015-09-04,1698.16,3811.06
2015-09-07,1701.18,3824.38
2015-09-08,1714.18,3855.55
2015-09-09,1722.43,3875.32
2015-09-10,1718.9,3847.12
2015-09-11,1718.06,3831.54
